Period,Location,Gender,Age-group,Occupation,Income Level,"Personal Hygiene (eg Soap, toothpaste)",Cleaning products,Long lasting (dry) groceries,"Fresh groceries (Fruits, vegetables)",Medicines/Natural remedies,Alcohol beverages,Skin care (eg. Body lotion),Hair care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Electronics (eg Phone, Computers)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime/Data bundles
2023-11-20,N42,Female,Baby Boomers,Business owner,Middle Income,Same,Same,Same,Same,More,Same,Same,Less,Same,Same,Same,Same,Same
2023-11-20,N43,Male,Millennials,Salaried employee,Low Income,Less,Less,Less,Same,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Less,Same,Less,Same
2023-11-20,N43,Female,Millennials,Salaried employee,Low Income,Less,Less,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Same,Same,Less,Less,Same,Same,Same
2023-11-20,N43,Female,Millennials,Salaried employee,Low Income,Same,Less,Same,Same,Less,Don't know/Don't buy,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Same,Same,Same
2023-11-20,N43,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Same,Same,Same
2023-11-20,N43,Male,Gen X,Salaried employee,Low Income,Less,Less,More,More,Less,Same,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same,Same
2023-11-20,N43,Male,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same,Don't know/Don't buy,Same,Same
2023-11-20,N43,Female,Baby Boomers,Self employed/Contractor,Low Income,Less,Less,Less,More,Less,Don't know/Don't buy,Don't know/Don't buy,More,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same,Same
2023-11-20,N43,Male,Gen X,Business owner,Middle Income,Same,Same,Same,More,Same,Don't know/Don't buy,Same,Same,Don't know/Don't buy,Same,Same,Same,Same
2023-11-20,N43,Female,Gen Z,Student,Low Income,Same,Same,Same,Same,Same,Less,Same,Don't know/Don't buy,Don't know/Don't buy,Same,Same,Same,Same
2023-11-20,N43,Female,Gen Z,Student,Low Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same,Same
2023-11-20,N43,Male,Gen Z,Student,Middle Income,Same,Less,Same,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same,Same,Same,Less,Same
2023-11-20,N43,Female,Millennials,Self employed/Contractor,Low Income,Less,Same,More,More,Same,Don't know/Don't buy,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Same,Same,Less
2023-11-20,N43,Male,Millennials,Business owner,Low Income,Same,Same,More,More,Same,Less,Less,Less,Less,Don't know/Don't buy,Less,Less,Same
2023-11-20,N43,Male,Baby Boomers,Self employed/Contractor,Middle Income,More,Same,More,More,Less,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same,Same
2023-11-20,N43,Male,Gen Z,Student,Low Income,Less,Less,Same,Same,Less,Less,Don't know/Don't buy,Don't know/Don't buy,Same,Less,Don't know/Don't buy,Same,Same
2023-11-20,N47,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Same
2023-11-20,N47,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Less,Less,Less,Less,Same,Same,Same
2023-11-20,N47,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Same
2023-11-20,N47,Female,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Same,Same,Less,Less,Same,Less,Same
2023-11-20,N47,Male,Baby Boomers,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Same,Less,Don't know/Don't buy,Don't know/Don't buy,Same,Less,Same
2023-11-20,N47,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Less,Less,Less,Don't know/Don't buy,Less,Same
2023-11-20,N47,Male,Gen Z,Self employed/Contractor,Low Income,Less,Less,Less,Less,Don't know/Don't buy,Don't know/Don't buy,Less,Less,Less,Less,Don't know/Don't buy,Less,Same
2023-11-20,N47,Male,Gen Z,Student,Middle Income,Less,Less,Less,Less,Don't know/Don't buy,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N47,Female,Gen Z,Salaried employee,Low Income,Same,Less,Less,Less,Don't know/Don't buy,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N47,Female,Gen Z,Stay-at-home mom or dad,Low Income,Same,Same,Less,Same,Don't know/Don't buy,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N47,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N47,Male,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Don't know/Don't buy,Less,Same,Don't know/Don't buy,Less,Less,Don't know/Don't buy,Less,Same
2023-11-20,N47,Female,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Less,Less,Don't know/Don't buy,Less,Less,Less,Same
2023-11-20,N47,Female,Baby Boomers,Business owner,High Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Same,Same,Same,Less,Same,Less,Same
2023-11-20,N47,Male,Millennials,Self employed/Contractor,Middle Income,Same,Less,Less,Same,Less,Don't know/Don't buy,Less,Don't know/Don't buy,Less,Less,Don't know/Don't buy,Less,Less
2023-11-20,N48,Female,Gen Z,Salaried employee,Low Income,Same,Don't know/Don't buy,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Less,Don't know/Don't buy,Don't know/Don't buy,Same,Less,More,Less
2023-11-20,N48,Male,Gen Z,Salaried employee,Low Income,Same,Less,More,Same,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Don't know/Don't buy,Less,Don't know/Don't buy,More,Don't know/Don't buy
2023-11-20,N48,Male,Gen Z,Salaried employee,Low Income,Less,Less,Same,Less,Don't know/Don't buy,More,Less,Don't know/Don't buy,Don't know/Don't buy,Less,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy
2023-11-20,N48,Male,Gen Z,Salaried employee,Low Income,Less,Same,Don't know/Don't buy,Same,Don't know/Don't buy,More,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Don't know/Don't buy,Less,Same
2023-11-20,N48,Female,Millennials,Self employed/Contractor,Low Income,Same,Don't know/Don't buy,Less,Same,Less,More,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Same,Don't know/Don't buy,Same
2023-11-20,N48,Female,Millennials,Unemployed,Low Income,Less,Same,Same,Don't know/Don't buy,Don't know/Don't buy,More,Don't know/Don't buy,Same,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same
2023-11-20,N48,Female,Gen X,Salaried employee,Middle Income,Same,Don't know/Don't buy,Less,More,Same,More,Don't know/Don't buy,Same,Don't know/Don't buy,Don't know/Don't buy,Less,Don't know/Don't buy,Same
2023-11-20,N48,Female,Millennials,Salaried employee,Middle Income,Same,Don't know/Don't buy,Less,More,Less,Don't know/Don't buy,More,Less,Don't know/Don't buy,Don't know/Don't buy,Less,Don't know/Don't buy,Same
2023-11-20,N48,Female,Gen X,Self employed/Contractor,Middle Income,Same,Don't know/Don't buy,Same,More,Less,More,Don't know/Don't buy,Less,Don't know/Don't buy,Don't know/Don't buy,More,More,Less
2023-11-20,N48,Female,Gen X,Self employed/Contractor,Middle Income,More,Less,Don't know/Don't buy,Same,Less,Same,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Less,Don't know/Don't buy,Same
2023-11-20,N48,Female,Gen X,Business owner,Low Income,More,Less,Don't know/Don't buy,More,Less,Don't know/Don't buy,Same,More,Same,Don't know/Don't buy,Less,Don't know/Don't buy,Don't know/Don't buy
2023-11-20,N48,Male,Baby Boomers,Self employed/Contractor,Low Income,Same,Same,Same,More,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same
2023-11-20,N48,Male,Baby Boomers,Self employed/Contractor,Middle Income,Same,Less,More,Same,Same,Don't know/Don't buy,More,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same
2023-11-20,N48,Male,Gen Z,Salaried employee,Low Income,Same,Less,Don't know/Don't buy,Same,More,Same,Don't know/Don't buy,Don't know/Don't buy,Less,Don't know/Don't buy,More,Don't know/Don't buy,Same
2023-11-20,N48,Male,Millennials,Business owner,Middle Income,Same,Less,Don't know/Don't buy,Less,Don't know/Don't buy,Less,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Less,Don't know/Don't buy,Less,Same
2023-11-20,N5,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Female,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Female,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Female,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Female,Gen X,Self employed/Contractor,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Male,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Male,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N5,Male,Gen Z,Self employed/Contractor,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N50,Female,Millennials,Salaried employee,Middle Income,Same,Same,Don't know/Don't buy,Same,Don't know/Don't buy,Don't know/Don't buy,Same,Same,Same,Don't know/Don't buy,Same,Same,Same
2023-11-20,N50,Female,Millennials,Salaried employee,Middle Income,Same,Less,Same,Same,Don't know/Don't buy,Same,Same,Same,Less,Less,Less,Less,Same
2023-11-20,N50,Female,Millennials,Salaried employee,Low Income,Same,Same,Don't know/Don't buy,Same,Don't know/Don't buy,Don't know/Don't buy,Less,Less,Less,Don't know/Don't buy,Less,Same,Same
2023-11-20,N50,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Don't know/Don't buy,Same,Same,Don't know/Don't buy,Same,More,More,Less,More
2023-11-20,N50,Male,Millennials,Salaried employee,Middle Income,Same,More,More,More,Same,Same,Same,Same,Less,Less,Same,Less,Same
2023-11-20,N50,Female,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Less,Less
2023-11-20,N50,Male,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Less,Don't know/Don't buy,Less,Less,Less,Less,Less
2023-11-20,N50,Male,Gen Z,Salaried employee,Middle Income,Less,Less,Less,Less,Less,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N50,Female,Gen X,Salaried employee,Middle Income,More,More,More,More,Same,Same,More,More,Less,Less,More,Same,More
2023-11-20,N50,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Less,Less,Less,Less,Same
2023-11-20,N50,Female,Gen X,Salaried employee,Middle Income,Same,More,More,More,Less,Same,Same,Same,Less,Less,Same,Same,More
2023-11-20,N50,Female,Baby Boomers,Self employed/Contractor,Middle Income,Less,Less,Less,Less,Less,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N50,Female,Millennials,Business owner,Middle Income,Same,Less,More,Less,Less,Don't know/Don't buy,Less,Less,Less,Don't know/Don't buy,Less,Less,Less
2023-11-20,N50,Male,Gen X,Self employed/Contractor,Middle Income,More,More,More,More,Same,Same,Same,Same,Same,Less,Same,Same,More
2023-11-20,N50,Male,Baby Boomers,Self employed/Contractor,Middle Income,Same,Less,Less,Same,Less,Less,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Less,Same
2023-11-20,N6,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N6,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N6,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N6,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Same,Same,Less,Less,Less,Less,Same
2023-11-20,N6,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N6,Female,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N6,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N6,Female,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Less,Less,Same,Less,Less,Less,Less
2023-11-20,N6,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N6,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N6,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Same
2023-11-20,N6,Female,Gen Z,Student,Low Income,Same,Same,Same,Same,Same,Don't know/Don't buy,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N6,Female,Gen Z,Student,Low Income,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N6,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N6,Male,Baby Boomers,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N8,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Don't know/Don't buy,Less,Same,Don't know/Don't buy,Same,Less,Less,Same,Same
2023-11-20,N8,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Less,Same,Same,Less,Same,Same,Less
2023-11-20,N8,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Don't know/Don't buy,Less,Same,Don't know/Don't buy,More,Same,Less,Same,Same
2023-11-20,N8,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Less,Same,Less,Less,Less,Same,Same,Same,Same,Same
2023-11-20,N8,Male,Gen X,Salaried employee,Middle Income,Same,Same,More,Same,Don't know/Don't buy,Don't know/Don't buy,Same,Less,Less,Less,Less,Same,Same
2023-11-20,N8,Female,Gen X,Business owner,Middle Income,Same,Same,More,Same,Less,Don't know/Don't buy,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Same,Same,Less
2023-11-20,N8,Male,Baby Boomers,Stay-at-home mom or dad,Middle Income,Same,Same,Same,More,More,Don't know/Don't buy,Less,Less,Same,Less,Less,Same,Less
2023-11-20,N8,Female,Baby Boomers,Unemployed,Middle Income,Same,Same,More,More,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same,Less
2023-11-20,N8,Female,Gen Z,Student,Low Income,Same,Same,Less,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N8,Male,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Less,Less,Less,Less,Less,Same,Less,Less,Less,Less
2023-11-20,N8,Male,Gen X,Unemployed,Low Income,Less,Same,More,Same,Don't know/Don't buy,Don't know/Don't buy,Less,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same,Less
2023-11-20,N8,Female,Gen Z,Stay-at-home mom or dad,Low Income,Same,Same,Same,Less,Don't know/Don't buy,Don't know/Don't buy,More,More,More,More,More,More,More
2023-11-20,N8,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Don't know/Don't buy,Don't know/Don't buy,Same,Don't know/Don't buy,Same,Less,Less,Less,Same
2023-11-20,N8,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Less,Don't know/Don't buy,Don't know/Don't buy,Same,Same,Less,Less,Less,Same,Same
2023-11-20,N8,Male,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
2023-11-20,N9,Female,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,More,More,Same,Same,More,Same,Same,More,More
2023-11-20,N9,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N9,Male,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,More,Same,More,Same,Same,More,More,More,Same
2023-11-20,N9,Female,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,More,Same,More,Same,Same,More,Same,More,More
2023-11-20,N9,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Same,Same,Same,More,Same,Same,More,Same,Same
2023-11-20,N9,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,More,Same,More,More,Same,Same,More,More,More
2023-11-20,N9,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N9,Female,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,Same,More,Same,Same,More,More,Same,Same,More
2023-11-20,N9,Male,Millennials,Salaried employee,High Income,Same,Same,More,Same,Less,More,Same,Same,More,Same,Same,More,Same
2023-11-20,N9,Male,Gen Z,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Don't know/Don't buy,Same,Same,Same,Same,Less,Same,Same,More
2023-11-20,N9,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Less,Same,Less,Less,Same,Same,Less,Less,Less,Same,More
2023-11-20,N9,Male,Millennials,Business owner,High Income,Same,Same,More,Same,Same,Same,More,Same,More,Same,Same,More,More
2023-11-20,N9,Male,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2023-11-20,N9,Male,Millennials,Business owner,Middle Income,Same,Same,More,Same,Same,Same,Same,Same,More,Same,Same,Same,More
2023-11-20,N9,Male,Millennials,Business owner,Middle Income,Same,More,Same,Same,Same,More,Same,Same,More,Same,Same,More,More
2023-11-20,NK1,Female,Millennials,Salaried employee,Low Income,Same,Same,Don't know/Don't buy,Same,Less,Less,Less,Less,Less,Don't know/Don't buy,Less,Less,Same
2023-11-20,NK1,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Same,Don't know/Don't buy,Less,Don't know/Don't buy,Less,Less,Same
2023-11-20,NK1,Male,Millennials,Salaried employee,Middle Income,Same,Same,Don't know/Don't buy,More,Don't know/Don't buy,Don't know/Don't buy,Same,Don't know/Don't buy,Same,Less,Less,Less,Same
2023-11-20,NK1,Female,Gen Z,Salaried employee,Low Income,Same,Same,Less,Less,Don't know/Don't buy,Don't know/Don't buy,Less,Don't know/Don't buy,Less,Don't know/Don't buy,Don't know/Don't buy,Less,Same
2023-11-20,NK1,Female,Gen Z,Salaried employee,Low Income,Same,Same,Less,Same,Don't know/Don't buy,Less,Less,Less,Less,Don't know/Don't buy,Don't know/Don't buy,Less,Same
2023-11-20,NK1,Male,Gen Z,Salaried employee,Low Income,Same,Same,Don't know/Don't buy,Same,Don't know/Don't buy,Don't know/Don't buy,Same,Don't know/Don't buy,Less,Don't know/Don't buy,Don't know/Don't buy,Less,Same
2023-11-20,NK1,Male,Gen Z,Salaried employee,Low Income,Same,Same,Don't know/Don't buy,Less,Don't know/Don't buy,Less,Less,Don't know/Don't buy,Less,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Less
2023-11-20,NK1,Female,Gen Z,Salaried employee,Low Income,Less,Less,Don't know/Don't buy,Less,Don't know/Don't buy,Less,Less,Less,Less,Don't know/Don't buy,Less,Less,Less
2023-11-20,NK1,Female,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Same,Same,Less,Don't know/Don't buy,Less,Less,Same
2023-11-20,NK1,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Less,Don't know/Don't buy,Less,Less,Same
2023-11-20,NK1,Male,Gen X,Salaried employee,Middle Income,More,Same,More,More,Less,Same,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Don't know/Don't buy,Less,More
2023-11-20,NK1,Male,Baby Boomers,Business owner,High Income,Same,Same,Don't know/Don't buy,More,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Less,Don't know/Don't buy,Same,Same,More
2023-11-20,NK1,Male,Baby Boomers,Business owner,Middle Income,Same,Same,More,More,Less,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Less,Don't know/Don't buy,Same,Same,More
2023-11-20,NK1,Female,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Less,Don't know/Don't buy,Less,Less,Same
2023-11-20,NK1,Female,Baby Boomers,Self employed/Contractor,High Income,Same,More,More,More,Less,Don't know/Don't buy,Same,Same,Less,Don't know/Don't buy,Less,Less,More
2023-11-20,NK1,Male,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Less,Same,Don't know/Don't buy,Same,Don't know/Don't buy,Don't know/Don't buy,Less,Same
2023-11-20,NK1,Male,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Less,Don't know/Don't buy,Don't know/Don't buy,Same,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Same
2023-11-20,NK1,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Less,Don't know/Don't buy,Same,Don't know/Don't buy,Less,Less,Don't know/Don't buy,Less,Same
2023-11-20,NK1,Female,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Less,Less,Less,Same,Same,Less,Don't know/Don't buy,Less,Less,Same
2023-11-20,NK1,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Less,Same,Less,Less,Same,Less,Less,Don't know/Don't buy,Less,Less,Same
2023-07-20,MS1,Male,Gen Z,Self employed/Contractor,Low Income,Less,Same,More,Don't know/Don't buy,More,More,Same,More,More,Same,More,More,More
2023-07-20,MS1,Female,Millennials,Salaried employee,Low Income,Same,More,More,Same,More,Same,More,Same,Same,More,More,Same,Same
2023-07-20,MS1,Male,Millennials,Salaried employee,Low Income,Less,Same,More,Same,More,More,Same,Same,Same,Less,Less,Same,Same
2023-07-20,MS1,Female,Gen Z,Salaried employee,Low Income,Same,More,More,Same,Less,More,More,Same,Same,More,Same,Same,More
2023-07-20,MS1,Male,Millennials,Salaried employee,Low Income,Same,More,More,Same,More,More,Same,More,More,Same,Same,More,More
2023-07-20,MS1,Female,Gen Z,Salaried employee,Low Income,Same,Same,More,Don't know/Don't buy,More,Less,Same,More,More,Don't know/Don't buy,More,More,Same
2023-07-20,MS1,Male,Gen Z,Self employed/Contractor,Low Income,Less,Same,More,Don't know/Don't buy,Same,Less,Same,Same,More,More,Same,Same,Same
2023-07-20,MS1,Female,Gen Z,Salaried employee,Low Income,Same,More,More,Same,Don't know/Don't buy,Same,Less,Same,More,Same,More,More,Same
2023-07-20,MS1,Female,Millennials,Salaried employee,Low Income,Less,Same,More,Same,Don't know/Don't buy,More,Less,Same,Same,More,More,More,Same
2023-07-20,MS1,Female,Gen Z,Unemployed,Low Income,Less,Same,More,Same,More,Same,Same,Don't know/Don't buy,Don't know/Don't buy,Same,More,More,More
2023-07-20,MS1,Male,Gen Z,Salaried employee,Low Income,Less,Same,More,More,Same,More,Don't know/Don't buy,Don't know/Don't buy,More,Same,Same,More,More
2023-07-20,MS1,Male,Millennials,Self employed/Contractor,Low Income,Same,Same,More,More,Don't know/Don't buy,Same,More,More,Same,Same,More,Same,More
2023-07-20,MS1,Male,Gen Z,Salaried employee,Low Income,Same,Same,More,More,Don't know/Don't buy,Less,Less,Same,More,Same,More,More,Don't know/Don't buy
2023-07-20,MS1,Male,Millennials,Self employed/Contractor,Low Income,Less,Same,More,More,Same,More,Same,More,More,More,Don't know/Don't buy,More,Same
2023-07-20,MS1,Male,Millennials,Self employed/Contractor,Low Income,Same,More,Don't know/Don't buy,More,More,Don't know/Don't buy,More,Don't know/Don't buy,Don't know/Don't buy,More,More,More,Same
2023-07-20,MS1,Female,Gen Z,Salaried employee,Low Income,More,Same,More,More,More,Less,Same,More,More,Same,More,More,Same
2023-07-20,MS1,Male,Millennials,Self employed/Contractor,Low Income,Same,Same,More,Don't know/Don't buy,Same,Same,Less,Less,Same,More,More,Same,Same
2023-07-20,MS1,Female,Gen Z,Salaried employee,Low Income,Less,Same,More,More,Don't know/Don't buy,Same,Same,Same,More,Don't know/Don't buy,Same,Less,More
2023-07-20,MS1,Female,Millennials,Salaried employee,Low Income,Less,Same,More,Same,More,Same,Same,Less,Less,More,Don't know/Don't buy,More,More
2023-07-20,MS1,Female,Millennials,Salaried employee,Low Income,Less,Same,Same,More,Same,Don't know/Don't buy,More,More,Don't know/Don't buy,More,Don't know/Don't buy,More,More
2023-07-20,N1,Male,Gen X,Unemployed,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
2023-07-20,N1,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
